tweet_id,retweet_count,favorite_count
820314633777061888,538,3245
820078625395449857,5978,19126
820013781606658049,1119,0
819952236453363712,1119,5140
819924195358416896,4662,12527
819711362133872643,2965,12937
819588359383371776,1912,9354
819347104292290561,1149,6999
819238181065359361,390,2186
819227688460238848,6408,22275
819015337530290176,35445,0
819015331746349057,18231,0
819006400881917954,18231,43965
819004803107983360,35445,84510
818646164899774465,19988,0
818627210458333184,7241,21693
818614493328580609,2416,9523
818588835076603904,5832,0
818536468981415936,2339,10504
818307523543449600,7688,0
818259473185828864,2146,10655
818145370475810820,2436,11876
817908911860748288,758,4700
817827839487737858,25848,49782
817777686764523521,2575,10453
817536400337801217,2811,11389
817502432452313088,3232,0
817423860136083457,13998,32630
817415592588222464,914,5418
817181837579653120,8084,0
817171292965273600,1932,8485
817120970343411712,2488,11803
817056546584727552,1572,8328
816829038950027264,4506,0
816816676327063552,1946,9698
816697700272001025,2100,9474
816450570814898180,7688,29373
816336735214911488,1854,8344
816091915477250048,2042,8665
816062466425819140,972,0
816014286006976512,5022,0
815990720817401858,972,4788
815966073409433600,8084,21653
815745968457060357,3963,0
815736392542261248,2176,9545
815639385530101762,1583,7984
815390420867969024,3658,10043
814986499976527872,1219,7424
814638523311648768,2585,10949
814578408554463233,5607,0
814530161257443328,1777,8371
814153002265309185,8305,27896
813944609378369540,3048,0
813910438903693312,1784,9042
813812741911748608,13398,35370
813800681631023104,1691,8073
813217897535406080,7007,18076
813202720496779264,1750,8975
813187593374461952,4172,19271
813172488309972993,1850,9007
813157409116065792,2108,7538
813142292504645637,2299,8263
813130366689148928,427,4366
813127251579564032,2989,11470
813112105746448384,2630,10006
813096984823349248,3475,10263
813081950185472002,2665,9629
813066809284972545,1881,7711
813051746834595840,7051,20364
812781120811126785,1827,7319
812709060537683968,1385,6445
812503143955202048,1178,5888
812466873996607488,1840,7745
812372279581671427,3518,13239
811985624773361665,1347,7070
811744202451197953,1530,7335
